label,percent,agency
46–,,enno
61–,,enno
76–,,enno
91–,,enno
cancelled,1.84%,enno
substituted,,erfurter bahn
-5–,,erfurter bahn
-4–,,erfurter bahn
-3–,,erfurter bahn
-2–,,erfurter bahn
-1–,,erfurter bahn
0–,79.5%,erfurter bahn
1–,7.88%,erfurter bahn
2–,2.90%,erfurter bahn
3–,2.07%,erfurter bahn
4–,2.28%,erfurter bahn
5–,2.28%,erfurter bahn
6–,1.04%,erfurter bahn
7–,0.207%,erfurter bahn
8–,,erfurter bahn
9–,,erfurter bahn
10–,0.207%,erfurter bahn
11–,1.24%,erfurter bahn
16–,0.207%,erfurter bahn
21–,,erfurter bahn
26–,,erfurter bahn
31–,,erfurter bahn
46–,,erfurter bahn
61–,,erfurter bahn
76–,,erfurter bahn
91–,,erfurter bahn
cancelled,0.207%,erfurter bahn
substituted,,erixx
-5–,,erixx
-4–,,erixx
-3–,,erixx
-2–,,erixx
-1–,,erixx
0–,72.1%,erixx
1–,7.67%,erixx
2–,2.19%,erixx
3–,1.10%,erixx
4–,1.64%,erixx
5–,1.10%,erixx
6–,,erixx
7–,0.822%,erixx
8–,0.822%,erixx
9–,,erixx
10–,0.548%,erixx
11–,1.64%,erixx
16–,1.37%,erixx
21–,1.10%,erixx
26–,,erixx
31–,,erixx
46–,,erixx
61–,,erixx
76–,,erixx
91–,,erixx
cancelled,7.95%,erixx
substituted,0.0570%,eurobahn
-5–,,eurobahn
-4–,,eurobahn
-3–,,eurobahn
-2–,,eurobahn
-1–,,eurobahn
0–,56.4%,eurobahn
1–,11.6%,eurobahn
2–,7.87%,eurobahn
3–,5.02%,eurobahn
4–,3.02%,eurobahn
5–,2.68%,eurobahn
6–,0.970%,eurobahn
7–,1.54%,eurobahn
8–,1.14%,eurobahn
9–,0.685%,eurobahn
10–,0.970%,eurobahn
11–,2.68%,eurobahn
16–,0.456%,eurobahn
21–,0.0570%,eurobahn
26–,0.285%,eurobahn
31–,0.171%,eurobahn
46–,0.114%,eurobahn
61–,,eurobahn
76–,0.0570%,eurobahn
91–,,eurobahn
cancelled,4.28%,eurobahn
substituted,,flixtrain1
-5–,,flixtrain1
-4–,,flixtrain1
-3–,,flixtrain1
-2–,,flixtrain1
-1–,,flixtrain1
0–,24.5%,flixtrain1
1–,16.9%,flixtrain1
2–,8.89%,flixtrain1
3–,6.53%,flixtrain1
4–,1.81%,flixtrain1
5–,2.18%,flixtrain1
6–,1.81%,flixtrain1
7–,2.00%,flixtrain1
8–,2.00%,flixtrain1
9–,0.544%,flixtrain1
10–,1.45%,flixtrain1
11–,3.45%,flixtrain1
16–,2.72%,flixtrain1
21–,2.90%,flixtrain1
26–,3.27%,flixtrain1
31–,6.53%,flixtrain1
46–,1.81%,flixtrain1
61–,1.45%,flixtrain1
76–,1.27%,flixtrain1
91–,4.90%,flixtrain1
cancelled,3.09%,flixtrain1
substituted,,go-ahead baden-württemberg gmbh
-5–,,go-ahead baden-württemberg gmbh
-4–,,go-ahead baden-württemberg gmbh
-3–,,go-ahead baden-württemberg gmbh
-2–,,go-ahead baden-württemberg gmbh
-1–,,go-ahead baden-württemberg gmbh
0–,69.9%,go-ahead baden-württemberg gmbh
1–,7.23%,go-ahead baden-württemberg gmbh
2–,4.50%,go-ahead baden-württemberg gmbh
3–,3.98%,go-ahead baden-württemberg gmbh
4–,2.51%,go-ahead baden-württemberg gmbh
5–,1.83%,go-ahead baden-württemberg gmbh
6–,1.10%,go-ahead baden-württemberg gmbh
7–,0.838%,go-ahead baden-württemberg gmbh
8–,0.524%,go-ahead baden-württemberg gmbh
9–,0.785%,go-ahead baden-württemberg gmbh
10–,0.890%,go-ahead baden-württemberg gmbh
11–,1.62%,go-ahead baden-württemberg gmbh
16–,0.942%,go-ahead baden-württemberg gmbh
21–,0.262%,go-ahead baden-württemberg gmbh
26–,0.366%,go-ahead baden-württemberg gmbh
31–,0.681%,go-ahead baden-württemberg gmbh
46–,0.314%,go-ahead baden-württemberg gmbh
61–,,go-ahead baden-württemberg gmbh
76–,,go-ahead baden-württemberg gmbh
91–,,go-ahead baden-württemberg gmbh
cancelled,1.73%,go-ahead baden-württemberg gmbh
substituted,,go-ahead bayern gmbh
-5–,,go-ahead bayern gmbh
-4–,,go-ahead bayern gmbh
-3–,,go-ahead bayern gmbh
-2–,,go-ahead bayern gmbh
-1–,,go-ahead bayern gmbh
0–,66.8%,go-ahead bayern gmbh
1–,8.06%,go-ahead bayern gmbh
2–,5.37%,go-ahead bayern gmbh
3–,2.69%,go-ahead bayern gmbh
4–,1.58%,go-ahead bayern gmbh
5–,1.74%,go-ahead bayern gmbh
6–,0.948%,go-ahead bayern gmbh
7–,0.948%,go-ahead bayern gmbh
8–,1.74%,go-ahead bayern gmbh
9–,0.632%,go-ahead bayern gmbh
10–,0.790%,go-ahead bayern gmbh
11–,0.948%,go-ahead bayern gmbh
16–,1.11%,go-ahead bayern gmbh
21–,1.26%,go-ahead bayern gmbh
26–,0.316%,go-ahead bayern gmbh
31–,0.790%,go-ahead bayern gmbh
46–,0.158%,go-ahead bayern gmbh
61–,0.158%,go-ahead bayern gmbh
76–,,go-ahead bayern gmbh
91–,,go-ahead bayern gmbh
cancelled,3.95%,go-ahead bayern gmbh
substituted,,metronom eisenbahngesellschaft mbh
-5–,,metronom eisenbahngesellschaft mbh
-4–,,metronom eisenbahngesellschaft mbh
-3–,,metronom eisenbahngesellschaft mbh
-2–,,metronom eisenbahngesellschaft mbh
-1–,,metronom eisenbahngesellschaft mbh
0–,59.1%,metronom eisenbahngesellschaft mbh
1–,7.24%,metronom eisenbahngesellschaft mbh
2–,4.79%,metronom eisenbahngesellschaft mbh
3–,4.21%,metronom eisenbahngesellschaft mbh
4–,1.64%,metronom eisenbahngesellschaft mbh
5–,2.10%,metronom eisenbahngesellschaft mbh
6–,1.99%,metronom eisenbahngesellschaft mbh
7–,1.29%,metronom eisenbahngesellschaft mbh
8–,1.52%,metronom eisenbahngesellschaft mbh
9–,1.05%,metronom eisenbahngesellschaft mbh
10–,0.935%,metronom eisenbahngesellschaft mbh
11–,3.97%,metronom eisenbahngesellschaft mbh
16–,1.40%,metronom eisenbahngesellschaft mbh
21–,1.29%,metronom eisenbahngesellschaft mbh
26–,0.701%,metronom eisenbahngesellschaft mbh
31–,0.584%,metronom eisenbahngesellschaft mbh
46–,0.234%,metronom eisenbahngesellschaft mbh
61–,0.117%,metronom eisenbahngesellschaft mbh
76–,,metronom eisenbahngesellschaft mbh
91–,,metronom eisenbahngesellschaft mbh
cancelled,5.84%,metronom eisenbahngesellschaft mbh
substituted,,metronom
-5–,,metronom
-4–,,metronom
-3–,,metronom
-2–,,metronom
-1–,,metronom
0–,59.1%,metronom
1–,7.24%,metronom
2–,4.79%,metronom
3–,4.21%,metronom
4–,1.64%,metronom
5–,2.10%,metronom
6–,1.99%,metronom
7–,1.29%,metronom
8–,1.52%,metronom
9–,1.05%,metronom
10–,0.935%,metronom
11–,3.97%,metronom
16–,1.40%,metronom
21–,1.29%,metronom
26–,0.701%,metronom
31–,0.584%,metronom
46–,0.234%,metronom
61–,0.117%,metronom
76–,,metronom
91–,,metronom
cancelled,5.84%,metronom
substituted,0.387%,mitteldeutsche regiobahn
-5–,,mitteldeutsche regiobahn
