STRUCTURE,STRUCTURE_ID,freq,unit,indic_il,deg_urb,sex,age,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:ILC_DI17(1.0),A,EUR,MED_E,DEG2,T,TOTAL,HR,2021,8156,
dataflow,ESTAT:ILC_DI17(1.0),A,EUR,MED_E,DEG2,T,TOTAL,HR,2022,8622,
dataflow,ESTAT:ILC_DI17(1.0),A,EUR,MED_E,DEG2,T,TOTAL,HU,2021,6590,
dataflow,ESTAT:ILC_DI17(1.0),A,EUR,MED_E,DEG2,T,TOTAL,HU,2022,6724,
dataflow,ESTAT:ILC_DI17(1.0),A,EUR,MED_E,DEG2,T,TOTAL,IE,2021,29245,
dataflow,ESTAT:ILC_DI17(1.0),A,EUR,MED_E,DEG2,T,TOTAL,IE,2022,30544,
dataflow,ESTAT:ILC_DI17(1.0),A,EUR,MED_E,DEG2,T,TOTAL,IT,2021,17505,
dataflow,ESTAT:ILC_DI17(1.0),A,EUR,MED_E,DEG2,T,TOTAL,IT,2022,18593,
dataflow,ESTAT:ILC_DI17(1.0),A,EUR,MED_E,DEG2,T,TOTAL,LT,2021,8484,
dataflow,ESTAT:ILC_DI17(1.0),A,EUR,MED_E,DEG2,T,TOTAL,LT,2022,9546,
dataflow,ESTAT:ILC_DI17(1.0),A,EUR,MED_E,DEG2,T,TOTAL,LU,2021,39064,b
dataflow,ESTAT:ILC_DI17(1.0),A,EUR,MED_E,DEG2,T,TOTAL,LU,2022,41825,b
dataflow,ESTAT:ILC_DI17(1.0),A,EUR,MED_E,DEG2,T,TOTAL,LV,2021,10157,
dataflow,ESTAT:ILC_DI17(1.0),A,EUR,MED_E,DEG2,T,TOTAL,LV,2022,11051,
dataflow,ESTAT:ILC_DI17(1.0),A,EUR,MED_E,DEG2,T,TOTAL,MT,2021,18006,
dataflow,ESTAT:ILC_DI17(1.0),A,EUR,MED_E,DEG2,T,TOTAL,MT,2022,19200,
dataflow,ESTAT:ILC_DI17(1.0),A,EUR,MED_E,DEG2,T,TOTAL,NL,2021,28795,
dataflow,ESTAT:ILC_DI17(1.0),A,EUR,MED_E,DEG2,T,TOTAL,NL,2022,29869,
dataflow,ESTAT:ILC_DI17(1.0),A,EUR,MED_E,DEG2,T,TOTAL,NO,2021,36286,b
dataflow,ESTAT:ILC_DI17(1.0),A,EUR,MED_E,DEG2,T,TOTAL,NO,2022,39131,
dataflow,ESTAT:ILC_DI17(1.0),A,EUR,MED_E,DEG2,T,TOTAL,PL,2021,8517,
dataflow,ESTAT:ILC_DI17(1.0),A,EUR,MED_E,DEG2,T,TOTAL,PL,2022,9070,
dataflow,ESTAT:ILC_DI17(1.0),A,EUR,MED_E,DEG2,T,TOTAL,PT,2021,11001,
dataflow,ESTAT:ILC_DI17(1.0),A,EUR,MED_E,DEG2,T,TOTAL,PT,2022,10860,
dataflow,ESTAT:ILC_DI17(1.0),A,EUR,MED_E,DEG2,T,TOTAL,RO,2021,4847,
dataflow,ESTAT:ILC_DI17(1.0),A,EUR,MED_E,DEG2,T,TOTAL,RO,2022,5567,
dataflow,ESTAT:ILC_DI17(1.0),A,EUR,MED_E,DEG2,T,TOTAL,RS,2021,4176,
dataflow,ESTAT:ILC_DI17(1.0),A,EUR,MED_E,DEG2,T,TOTAL,SE,2021,25324,
dataflow,ESTAT:ILC_DI17(1.0),A,EUR,MED_E,DEG2,T,TOTAL,SE,2022,26353,
dataflow,ESTAT:ILC_DI17(1.0),A,EUR,MED_E,DEG2,T,TOTAL,SI,2021,15370,
dataflow,ESTAT:ILC_DI17(1.0),A,EUR,MED_E,DEG2,T,TOTAL,SI,2022,16541,
dataflow,ESTAT:ILC_DI17(1.0),A,EUR,MED_E,DEG2,T,TOTAL,SK,2021,8430,
dataflow,ESTAT:ILC_DI17(1.0),A,EUR,MED_E,DEG2,T,TOTAL,SK,2022,8539,
dataflow,ESTAT:ILC_DI17(1.0),A,EUR,MED_E,DEG2,T,Y_GE18,AT,2021,28322,
dataflow,ESTAT:ILC_DI17(1.0),A,EUR,MED_E,DEG2,T,Y_GE18,AT,2022,28772,
dataflow,ESTAT:ILC_DI17(1.0),A,EUR,MED_E,DEG2,T,Y_GE18,BE,2021,26900,
dataflow,ESTAT:ILC_DI17(1.0),A,EUR,MED_E,DEG2,T,Y_GE18,BE,2022,28107,
dataflow,ESTAT:ILC_DI17(1.0),A,EUR,MED_E,DEG2,T,Y_GE18,BG,2021,5098,
dataflow,ESTAT:ILC_DI17(1.0),A,EUR,MED_E,DEG2,T,Y_GE18,BG,2022,5383,
dataflow,ESTAT:ILC_DI17(1.0),A,EUR,MED_E,DEG2,T,Y_GE18,CH,2021,46508,
dataflow,ESTAT:ILC_DI17(1.0),A,EUR,MED_E,DEG2,T,Y_GE18,CY,2021,15513,
dataflow,ESTAT:ILC_DI17(1.0),A,EUR,MED_E,DEG2,T,Y_GE18,CY,2022,16760,
dataflow,ESTAT:ILC_DI17(1.0),A,EUR,MED_E,DEG2,T,Y_GE18,CZ,2021,10231,
dataflow,ESTAT:ILC_DI17(1.0),A,EUR,MED_E,DEG2,T,Y_GE18,CZ,2022,11908,
dataflow,ESTAT:ILC_DI17(1.0),A,EUR,MED_E,DEG2,T,Y_GE18,DE,2021,25643,
dataflow,ESTAT:ILC_DI17(1.0),A,EUR,MED_E,DEG2,T,Y_GE18,DE,2022,25406,
dataflow,ESTAT:ILC_DI17(1.0),A,EUR,MED_E,DEG2,T,Y_GE18,DK,2021,32689,
dataflow,ESTAT:ILC_DI17(1.0),A,EUR,MED_E,DEG2,T,Y_GE18,DK,2022,33633,
dataflow,ESTAT:ILC_DI17(1.0),A,EUR,MED_E,DEG2,T,Y_GE18,EA,2021,21337,
dataflow,ESTAT:ILC_DI17(1.0),A,EUR,MED_E,DEG2,T,Y_GE18,EA19,2021,21337,
dataflow,ESTAT:ILC_DI17(1.0),A,EUR,MED_E,DEG2,T,Y_GE18,EA20,2021,21186,
dataflow,ESTAT:ILC_DI17(1.0),A,EUR,MED_E,DEG2,T,Y_GE18,EA20,2022,21681,
dataflow,ESTAT:ILC_DI17(1.0),A,EUR,MED_E,DEG2,T,Y_GE18,EE,2021,11905,
dataflow,ESTAT:ILC_DI17(1.0),A,EUR,MED_E,DEG2,T,Y_GE18,EE,2022,13728,
dataflow,ESTAT:ILC_DI17(1.0),A,EUR,MED_E,DEG2,T,Y_GE18,EL,2021,9300,
dataflow,ESTAT:ILC_DI17(1.0),A,EUR,MED_E,DEG2,T,Y_GE18,EL,2022,9915,
dataflow,ESTAT:ILC_DI17(1.0),A,EUR,MED_E,DEG2,T,Y_GE18,ES,2021,15015,
dataflow,ESTAT:ILC_DI17(1.0),A,EUR,MED_E,DEG2,T,Y_GE18,ES,2022,16163,
dataflow,ESTAT:ILC_DI17(1.0),A,EUR,MED_E,DEG2,T,Y_GE18,EU27_2020,2021,19249,
dataflow,ESTAT:ILC_DI17(1.0),A,EUR,MED_E,DEG2,T,Y_GE18,EU27_2020,2022,19868,
dataflow,ESTAT:ILC_DI17(1.0),A,EUR,MED_E,DEG2,T,Y_GE18,FI,2021,25403,
dataflow,ESTAT:ILC_DI17(1.0),A,EUR,MED_E,DEG2,T,Y_GE18,FI,2022,26193,
dataflow,ESTAT:ILC_DI17(1.0),A,EUR,MED_E,DEG2,T,Y_GE18,FR,2021,22904,
dataflow,ESTAT:ILC_DI17(1.0),A,EUR,MED_E,DEG2,T,Y_GE18,FR,2022,23055,b
dataflow,ESTAT:ILC_DI17(1.0),A,EUR,MED_E,DEG2,T,Y_GE18,HR,2021,8248,
dataflow,ESTAT:ILC_DI17(1.0),A,EUR,MED_E,DEG2,T,Y_GE18,HR,2022,8715,
dataflow,ESTAT:ILC_DI17(1.0),A,EUR,MED_E,DEG2,T,Y_GE18,HU,2021,6675,
dataflow,ESTAT:ILC_DI17(1.0),A,EUR,MED_E,DEG2,T,Y_GE18,HU,2022,6810,
dataflow,ESTAT:ILC_DI17(1.0),A,EUR,MED_E,DEG2,T,Y_GE18,IE,2021,30772,
dataflow,ESTAT:ILC_DI17(1.0),A,EUR,MED_E,DEG2,T,Y_GE18,IE,2022,32283,
dataflow,ESTAT:ILC_DI17(1.0),A,EUR,MED_E,DEG2,T,Y_GE18,IT,2021,17981,
dataflow,ESTAT:ILC_DI17(1.0),A,EUR,MED_E,DEG2,T,Y_GE18,IT,2022,18932,
dataflow,ESTAT:ILC_DI17(1.0),A,EUR,MED_E,DEG2,T,Y_GE18,LT,2021,8588,
dataflow,ESTAT:ILC_DI17(1.0),A,EUR,MED_E,DEG2,T,Y_GE18,LT,2022,9571,
dataflow,ESTAT:ILC_DI17(1.0),A,EUR,MED_E,DEG2,T,Y_GE18,LU,2021,40656,b
dataflow,ESTAT:ILC_DI17(1.0),A,EUR,MED_E,DEG2,T,Y_GE18,LU,2022,43408,b
dataflow,ESTAT:ILC_DI17(1.0),A,EUR,MED_E,DEG2,T,Y_GE18,LV,2021,10021,
dataflow,ESTAT:ILC_DI17(1.0),A,EUR,MED_E,DEG2,T,Y_GE18,LV,2022,10922,
