age,nuts2,employment_rate
Y_GE65,RS11,6.4
Y_GE65,RS12,5.9
Y_GE65,RS21,12.8
Y_GE65,RS22,7.6
Y_GE65,SE11,14.3
Y_GE65,SE12,12.3
Y_GE65,SE21,14.6
Y_GE65,SE22,11.7
Y_GE65,SE23,15.1
Y_GE65,SE31,11.1
Y_GE65,SE32,14.2
Y_GE65,SE33,10.6
Y_GE65,SI03,4.6
Y_GE65,SI04,4.7
Y_GE65,SK01,8.1
Y_GE65,SK02,4.3
Y_GE65,SK03,4.0
Y_GE65,SK04,4.4
