STRUCTURE,STRUCTURE_ID,freq,unit,wstatus,nace_r2,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,TOTAL,BE342,2021,15.8,p
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,TOTAL,BE343,2020,23.5,p
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,TOTAL,BE343,2021,24.2,p
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,TOTAL,BE344,2020,26,p
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,TOTAL,BE344,2021,26.7,p
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,TOTAL,BE345,2020,13.7,p
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,TOTAL,BE345,2021,13.8,p
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,TOTAL,BE35,2020,177.6,p
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,TOTAL,BE35,2021,181.2,p
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,TOTAL,BE351,2020,36,p
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,TOTAL,BE351,2021,36.7,p
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,TOTAL,BE352,2020,123.5,p
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,TOTAL,BE352,2021,126.1,p
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,TOTAL,BE353,2020,18.1,p
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,TOTAL,BE353,2021,18.4,p
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,TOTAL,BEZ,2020,2.6,p
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,TOTAL,BEZ,2021,3.1,p
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,TOTAL,BEZZ,2020,2.6,p
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,TOTAL,BEZZ,2021,3.1,p
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,TOTAL,BEZZZ,2020,2.6,p
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,TOTAL,BEZZZ,2021,3.1,p
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,TOTAL,BG,2020,3451.74,
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,TOTAL,BG,2021,3458.41,
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,TOTAL,BG3,2020,1511.17,
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,TOTAL,BG3,2021,1486.98,
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,TOTAL,BG31,2020,282.8,
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,TOTAL,BG31,2021,277.08,
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,TOTAL,BG311,2020,29.83,
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,TOTAL,BG312,2020,48.53,
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,TOTAL,BG313,2020,57.51,
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,TOTAL,BG314,2020,96.63,
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,TOTAL,BG315,2020,50.3,
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,TOTAL,BG32,2020,350.51,
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,TOTAL,BG32,2021,339.13,
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,TOTAL,BG321,2020,102.46,
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,TOTAL,BG322,2020,51.71,
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,TOTAL,BG323,2020,101.16,
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,TOTAL,BG324,2020,49.97,
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,TOTAL,BG325,2020,45.21,
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,TOTAL,BG33,2020,422.95,
