STRUCTURE,STRUCTURE_ID,freq,unit,wstatus,nace_r2,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,BE341,2020,0.2,p
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,BE341,2021,0.2,p
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,BE342,2020,1,p
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,BE342,2021,1,p
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,BE343,2020,0.8,p
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,BE343,2021,0.8,p
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,BE344,2020,1.1,p
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,BE344,2021,1.1,p
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,BE345,2020,0.5,p
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,BE345,2021,0.5,p
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,BE35,2020,3.4,p
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,BE35,2021,3.5,p
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,BE351,2020,1.5,p
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,BE351,2021,1.5,p
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,BE352,2020,1.2,p
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,BE352,2021,1.2,p
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,BE353,2020,0.7,p
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,BE353,2021,0.7,p
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,BG,2020,595.7,
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,BG3,2020,368.77,
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,BG31,2020,79,
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,BG311,2020,9.68,
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,BG312,2020,13.7,
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,BG313,2020,17.9,
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,BG314,2020,25.39,
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,BG315,2020,12.34,
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,BG32,2020,86.67,
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,BG321,2020,22.69,
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,BG322,2020,6.03,
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,BG323,2020,20.4,
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,BG324,2020,18.69,
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,BG325,2020,18.87,
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,BG33,2020,99.2,
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,BG331,2020,23.27,
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,BG332,2020,30.43,
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,BG333,2020,25.37,
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,BG334,2020,20.13,
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,BG34,2020,103.9,
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,BG341,2020,35.31,
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,BG342,2020,24.22,
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,BG343,2020,17.15,
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,BG344,2020,27.23,
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,BG4,2020,226.94,
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,BG41,2020,78.7,
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,BG411,2020,12.58,
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,BG412,2020,19.55,
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,BG413,2020,31.42,
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,BG414,2020,7.21,
